sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
"Amazon Digital Services,  Inc.",single author,non_fiction,3.95,72.48,108,9.42
"Amazon Digital Services,  Inc.",single author,fiction,4.43,116.19,159,8.58
"Amazon Digital Services,  Inc.",single author,childrens,4.8,68.52,107,7.22
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.14,72.08,127,8.11
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.73,73.11,106,8.64
"Amazon Digital Services,  Inc.",indie,childrens,4.07,54.88,116,10.36
"Amazon Digital Services,  Inc.",indie,non_fiction,4.85,47.52,149,9.45
"Amazon Digital Services,  Inc.",small/medium,fiction,3.98,147.69,164,10.86
"Amazon Digital Services,  Inc.",indie,fiction,4.39,28.25,164,8.77
Penguin Group (USA) LLC,big five,fiction,4.1,130.16,193,5.89
"Amazon Digital Services,  Inc.",indie,non_fiction,4.59,72.38,100,6.68
"Amazon Digital Services,  Inc.",indie,fiction,4.84,94.49,142,7.25
"Amazon Digital Services,  Inc.",small/medium,childrens,4.59,33.08,96,12.47
"Amazon Digital Services,  Inc.",indie,childrens,4.52,66.78,116,6.55
Penguin Group (USA) LLC,big five,non_fiction,4.82,97.11,156,10.53
"Amazon Digital Services,  Inc.",small/medium,childrens,4.4,45.28,84,8.53
"Amazon Digital Services,  Inc.",small/medium,fiction,4.71,74.92,173,10.49
"Amazon Digital Services,  Inc.",single author,non_fiction,4.5,72.61,167,6.77
Penguin Group (USA) LLC,big five,fiction,4.54,108.03,187,4.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.17,77.1,116,10.53
"Amazon Digital Services,  Inc.",single author,fiction,3.87,83.41,167,6.58
"Amazon Digital Services,  Inc.",single author,non_fiction,4.5,122.32,162,7.49
"Amazon Digital Services,  Inc.",indie,fiction,3.93,70.39,154,7.75
"Amazon Digital Services,  Inc.",single author,fiction,4.68,148.84,196,8.2
"Amazon Digital Services,  Inc.",small/medium,fiction,4.21,84.49,167,7.31
Simon and Schuster Digital Sales Inc,big five,fiction,3.5,110.19,178,9.33
"Amazon Digital Services,  Inc.",small/medium,fiction,3.42,138.96,166,8.66
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.04,44.15,96,8
"Amazon Digital Services,  Inc.",single author,non_fiction,2,54.51,117,9.61
"Amazon Digital Services,  Inc.",small/medium,fiction,2.48,118.29,175,5.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.62,61.32,144,10.24
HarperCollins Publishers,big five,childrens,4.4,57.08,52,11.34
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.66,69.39,142,7.71
"Amazon Digital Services,  Inc.",small/medium,childrens,4.2,52.2,39,10.1
"Amazon Digital Services,  Inc.",small/medium,fiction,4.33,106.28,160,13.21
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.62,58.76,108,12.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.69,91.89,136,10.89
"Amazon Digital Services,  Inc.",small/medium,childrens,4.41,30.61,97,9.43
"Amazon Digital Services,  Inc.",small/medium,childrens,4.57,60.42,69,7.31
"Amazon Digital Services,  Inc.",indie,childrens,4.45,45.92,111,11.25
"Amazon Digital Services,  Inc.",indie,childrens,4.2,39.7,92,9.38
"Amazon Digital Services,  Inc.",small/medium,fiction,4.75,63,181,9.05
"Amazon Digital Services,  Inc.",small/medium,childrens,3.78,52.93,98,7.07
"Amazon Digital Services,  Inc.",indie,childrens,4.83,74.79,119,9.19
"Amazon Digital Services,  Inc.",single author,non_fiction,4.45,74.8,122,12.1
"Amazon Digital Services,  Inc.",amazon,fiction,4.34,58.85,171,10.49
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.33,91.95,138,6.89
Penguin Group (USA) LLC,big five,childrens,4.65,72.5,112,9.05
"Amazon Digital Services,  Inc.",single author,non_fiction,4.45,63.13,95,9.76
Simon and Schuster Digital Sales Inc,big five,fiction,4.65,143.6,191,8.34
"Amazon Digital Services,  Inc.",small/medium,childrens,2,37.4,98,11.97
"Amazon Digital Services,  Inc.",single author,non_fiction,3,61.88,94,8.92
"Amazon Digital Services,  Inc.",indie,non_fiction,4.14,82.03,134,8.39
"Amazon Digital Services,  Inc.",indie,non_fiction,4.5,46.11,139,9.66
Simon and Schuster Digital Sales Inc,big five,childrens,4.22,52.82,88,11.98
Hachette Book Group,big five,childrens,4.25,61.07,63,5.9
Penguin Group (USA) LLC,big five,non_fiction,4.3,85.31,109,9.51
Random House LLC,big five,non_fiction,4.75,94.26,123,10.86
Random House LLC,big five,non_fiction,3.87,69.24,158,7.89
"Amazon Digital Services,  Inc.",indie,fiction,4.5,116.39,208,8.41
"Amazon Digital Services,  Inc.",small/medium,childrens,4.72,76.45,128,7.57
Simon and Schuster Digital Sales Inc,big five,childrens,4.84,58.24,108,10.82
"Amazon Digital Services,  Inc.",single author,childrens,4.36,51.12,112,12.27
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.72,57.74,121,7.51
"Amazon Digital Services,  Inc.",indie,fiction,4.13,66.9,174,7.57
Macmillan,big five,non_fiction,3.5,51.5,126,8.74
"Amazon Digital Services,  Inc.",single author,non_fiction,4.66,45.03,117,7.03
Hachette Book Group,big five,childrens,4.41,62.04,76,8.54
"Amazon Digital Services,  Inc.",small/medium,childrens,4.58,77.37,147,13.11
"Amazon Digital Services,  Inc.",small/medium,childrens,4.08,50.07,74,8.36
Penguin Group (USA) LLC,big five,childrens,4.71,48.47,98,8.29
"Amazon Digital Services,  Inc.",small/medium,fiction,4.58,126,194,10.22
"Amazon Digital Services,  Inc.",small/medium,fiction,3.25,103.95,164,9.03
"Amazon Digital Services,  Inc.",small/medium,childrens,4.22,54.85,83,8.27
"Amazon Digital Services,  Inc.",single author,fiction,3.67,99.93,197,8.71
Penguin Group (USA) LLC,big five,non_fiction,4.46,62.03,134,6.85
"Amazon Digital Services,  Inc.",small/medium,fiction,4.82,129.38,189,4.6
"Amazon Digital Services,  Inc.",single author,childrens,4.26,42.42,113,7.26
"Amazon Digital Services,  Inc.",single author,non_fiction,4.28,49.36,117,6.62
"Amazon Digital Services,  Inc.",small/medium,childrens,4.59,31.22,88,12.79
HarperCollins Publishers,big five,childrens,4.36,35.46,83,9.95
"Amazon Digital Services,  Inc.",indie,non_fiction,4.35,70.7,151,6.82
Simon and Schuster Digital Sales Inc,big five,childrens,3.66,45.04,75,9.01
"Amazon Digital Services,  Inc.",small/medium,childrens,3.5,22.32,63,13.92
"Amazon Digital Services,  Inc.",small/medium,childrens,4.46,46.38,109,9.11
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,56.84,86,7.9
Simon and Schuster Digital Sales Inc,big five,fiction,0,95.88,0,11.33
"Amazon Digital Services,  Inc.",indie,non_fiction,3.98,67.6,96,9
"Amazon Digital Services,  Inc.",small/medium,fiction,3.71,137.77,191,9.46
"Amazon Digital Services,  Inc.",small/medium,childrens,2,81.58,156,9.09
Macmillan,big five,non_fiction,4.55,74.37,126,8.14
"Amazon Digital Services,  Inc.",small/medium,childrens,4.5,36.07,101,10.45
"Amazon Digital Services,  Inc.",single author,childrens,4.7,24.96,116,11.13
"Amazon Digital Services,  Inc.",single author,fiction,4.23,134.39,179,9.16
"Amazon Digital Services,  Inc.",indie,childrens,3.5,62.33,97,7.65
"Amazon Digital Services,  Inc.",small/medium,fiction,4.77,115.02,209,7.77
Simon and Schuster Digital Sales Inc,big five,non_fiction,3.5,38.75,132,10.89
"Amazon Digital Services,  Inc.",small/medium,childrens,4.61,69.19,113,10.39
"Amazon Digital Services,  Inc.",small/medium,fiction,3.98,156.48,205,4.24
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.33,89.67,120,6.2
"Amazon Digital Services,  Inc.",small/medium,childrens,4.21,50.8,119,11.87
Random House LLC,big five,childrens,4.68,54.37,109,7.56
"Amazon Digital Services,  Inc.",small/medium,childrens,4.17,57.18,80,10.85
"Amazon Digital Services,  Inc.",indie,fiction,4.88,93.37,205,8.35
"Amazon Digital Services,  Inc.",small/medium,fiction,4.28,84.59,140,3.14
"Amazon Digital Services,  Inc.",small/medium,fiction,4.5,40.63,166,8.55
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.41,49.35,136,4.62
"Amazon Digital Services,  Inc.",indie,childrens,3.89,55.78,99,10.43
"Amazon Digital Services,  Inc.",small/medium,fiction,4.98,115.36,159,6.48
"Amazon Digital Services,  Inc.",small/medium,childrens,3.63,71.75,137,9.48
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.6,43.65,87,7.05
HarperCollins Publishers,big five,childrens,4.59,51.79,97,10.89
Penguin Group (USA) LLC,big five,fiction,4.23,122.66,169,8.23
"Amazon Digital Services,  Inc.",amazon,childrens,4.19,56.59,90,9.15
"Amazon Digital Services,  Inc.",single author,non_fiction,4.55,87.8,132,9.29
"Amazon Digital Services,  Inc.",small/medium,childrens,4.7,75.69,112,7.24
"Amazon Digital Services,  Inc.",small/medium,fiction,4.12,125.86,199,10.17
Random House LLC,big five,fiction,4.9,37.29,116,9.46
"Amazon Digital Services,  Inc.",small/medium,fiction,0,87.71,0,7.8
Macmillan,big five,non_fiction,4.28,50.07,144,11.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.44,69.52,132,7.89
"Amazon Digital Services,  Inc.",small/medium,childrens,4.65,49.75,96,5.96
"Amazon Digital Services,  Inc.",small/medium,fiction,4.61,79.52,176,7.96
"Amazon Digital Services,  Inc.",small/medium,childrens,4.53,36.67,58,10.33
Simon and Schuster Digital Sales Inc,big five,fiction,4.33,73.61,156,7.09
Penguin Group (USA) LLC,big five,non_fiction,4.19,48.88,120,8.9
HarperCollins Christian Publishing,big five,non_fiction,4.54,112.38,141,8.74
"Amazon Digital Services,  Inc.",indie,non_fiction,4.16,85.26,173,5.31
"Amazon Digital Services,  Inc.",amazon,non_fiction,4.18,73.89,151,9.41
Hachette Book Group,big five,non_fiction,4.46,109.02,153,5.29
Hachette Book Group,big five,fiction,4.17,111.43,177,5.77
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.7,70.77,152,6.59
"Amazon Digital Services,  Inc.",small/medium,childrens,4.07,75.06,99,5.98
"Amazon Digital Services,  Inc.",indie,fiction,4.54,111.46,182,7.63
"Amazon Digital Services,  Inc.",indie,fiction,4.29,85.26,159,6.16
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,97.06,111,6.53
"Amazon Digital Services,  Inc.",indie,childrens,4.14,45.15,116,8.44
HarperCollins Publishers,big five,childrens,4.72,57.46,139,9.09
Penguin Group (USA) LLC,big five,fiction,4.32,121.94,185,9.25
"Amazon Digital Services,  Inc.",single author,childrens,3,65.21,131,7
"Amazon Digital Services,  Inc.",small/medium,fiction,4.25,131.64,205,8.45
"Amazon Digital Services,  Inc.",indie,childrens,4.6,43.27,100,13.33
Penguin Group (USA) LLC,big five,non_fiction,3.68,101.82,128,8.45
"Amazon Digital Services,  Inc.",small/medium,fiction,4.15,91.25,144,9.04
"Amazon Digital Services,  Inc.",indie,non_fiction,3.14,85.18,118,5.72
Macmillan,big five,childrens,4.52,52.92,96,12.92
"Amazon Digital Services,  Inc.",small/medium,fiction,4.65,89.06,141,7.39
"Amazon Digital Services,  Inc.",indie,non_fiction,4.84,48.65,112,8.33
"Amazon Digital Services,  Inc.",indie,non_fiction,4.67,85.24,155,8.23
"Amazon Digital Services,  Inc.",indie,non_fiction,3.5,85.2,109,9.62
"Amazon Digital Services,  Inc.",small/medium,fiction,4.5,144.12,168,9.39
"Amazon Digital Services,  Inc.",single author,childrens,4.44,54.48,116,13.16
"Amazon Digital Services,  Inc.",single author,non_fiction,4.39,81.99,141,5.12
"Amazon Digital Services,  Inc.",small/medium,childrens,4.25,52.67,55,13.47
Hachette Book Group,big five,non_fiction,4.42,60.11,115,10.65
"Amazon Digital Services,  Inc.",indie,fiction,4.4,119.86,154,7.29
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.18,80.62,154,8.49
Hachette Book Group,big five,childrens,4.22,44.23,95,6.73
"Amazon Digital Services,  Inc.",small/medium,childrens,4.44,31.3,79,9.34
Simon and Schuster Digital Sales Inc,big five,fiction,4.44,89.07,176,10.38
"Amazon Digital Services,  Inc.",single author,non_fiction,4.73,58.66,119,6.44
Random House LLC,big five,fiction,4.77,102.22,160,8.94
HarperCollins Publishing,big five,non_fiction,4.22,85.74,146,7.5
HarperCollins Publishers,big five,non_fiction,4.08,91.4,109,9.55
Random House LLC,big five,fiction,3.48,93.5,164,8.43
"Amazon Digital Services,  Inc.",single author,fiction,3.44,105.65,169,10.11
"Amazon Digital Services,  Inc.",indie,fiction,4.74,96.48,166,10.18
Penguin Group (USA) LLC,big five,fiction,4.21,107.95,128,7.1
"Amazon Digital Services,  Inc.",small/medium,childrens,4.27,76.85,110,12.89
"Amazon Digital Services,  Inc.",small/medium,fiction,3.98,132.98,166,7.82
"Amazon Digital Services,  Inc.",small/medium,childrens,4.23,61.82,88,6.37
"Amazon Digital Services,  Inc.",small/medium,fiction,4.68,74.98,189,10.87
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.91,48.88,141,10.98
HarperCollins Christian Publishing,big five,childrens,4.61,37.43,124,15.01
"Amazon Digital Services,  Inc.",small/medium,childrens,3.98,31.909999999999997,100,8.96
"Amazon Digital Services,  Inc.",small/medium,childrens,4.15,41.43,76,6.6
"Amazon Digital Services,  Inc.",small/medium,fiction,4.66,85.71,164,10.21
"Amazon Digital Services,  Inc.",single author,childrens,4.27,60.48,114,8.81
"Amazon Digital Services,  Inc.",small/medium,childrens,4.24,37.52,107,9.97
Macmillan,big five,non_fiction,4.87,95.06,157,10.57
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,57.88,106,7.7
"Amazon Digital Services,  Inc.",small/medium,fiction,3.5,98.82,165,11.35
"Amazon Digital Services,  Inc.",indie,fiction,4.43,80.78,154,9.54
"Amazon Digital Services,  Inc.",single author,childrens,3.34,58.07,100,9.96
"Amazon Digital Services,  Inc.",small/medium,fiction,4.5,113.81,186,8.16
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.81,110,173,5.88
"Amazon Digital Services,  Inc.",indie,childrens,4.29,59.05,126,11.89
"Amazon Digital Services,  Inc.",small/medium,fiction,4.17,133.27,186,9.09
"Amazon Digital Services,  Inc.",small/medium,fiction,4.47,83.41,183,7.77
Random House LLC,big five,childrens,3.98,62.47,79,7.44
HarperCollins Publishers,big five,fiction,3.98,35.8,141,7.23
HarperCollins Publishers,big five,non_fiction,3.89,79.27,137,7.46
"Amazon Digital Services,  Inc.",small/medium,fiction,4.73,150.25,192,8.88
"Amazon Digital Services,  Inc.",single author,non_fiction,4.25,60.39,116,10.07
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.12,41.66,123,8.74
"Amazon Digital Services,  Inc.",indie,childrens,4.73,55.62,128,10.18
HarperCollins Publishers,big five,fiction,3.68,48.48,192,5.84
"Amazon Digital Services,  Inc.",indie,non_fiction,4.08,91.86,130,8.17
"Amazon Digital Services,  Inc.",small/medium,childrens,4.84,72.54,99,11.11
"Amazon Digital Services,  Inc.",small/medium,childrens,0,63.55,0,11.17
"Amazon Digital Services,  Inc.",small/medium,fiction,4.28,90.77,155,6.77
"Amazon Digital Services,  Inc.",small/medium,childrens,4.53,40.72,102,12
Macmillan,big five,non_fiction,3.98,76.76,142,9.24
"Amazon Digital Services,  Inc.",indie,non_fiction,4.23,70.02,129,11.08
"Amazon Digital Services,  Inc.",indie,childrens,4.46,56.48,134,7.65
"Amazon Digital Services,  Inc.",indie,childrens,4.57,48.83,105,6.39
Hachette Book Group,big five,childrens,4.3,68.81,79,9.28
"Amazon Digital Services,  Inc.",indie,fiction,3.6,90.35,178,9.09
"Amazon Digital Services,  Inc.",small/medium,childrens,4.88,59.91,129,12.51
"Amazon Digital Services,  Inc.",single author,childrens,4.69,65.81,102,7.42
"Amazon Digital Services,  Inc.",indie,non_fiction,4.75,72.86,118,8.84
Random House LLC,big five,childrens,4.57,54.53,61,7.65
"Amazon Digital Services,  Inc.",small/medium,childrens,4.12,45.23,109,10.19
"Amazon Digital Services,  Inc.",amazon,fiction,4.55,80.79,164,4.39
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.8,78.65,136,5.54
"Amazon Digital Services,  Inc.",small/medium,fiction,3.98,105.51,164,6.19
Penguin Group (USA) LLC,big five,fiction,4.84,96.03,161,7.35
"Amazon Digital Services,  Inc.",indie,childrens,4.14,69.17,121,7.14
"Amazon Digital Services,  Inc.",indie,non_fiction,4.13,73.55,103,6.43
